intent,example
intent_integration_edit,i need to pause an integration
intent_integration_edit,i need to disable an integration
intent_integration_edit,delete integration
intent_integration_edit,can you disable a webhook for me
intent_integration_edit,are you able to enable an integration that has been previously disabled
intent_integration_edit,"i'd like to change the name of my ms teams integration, is that possible?"
intent_integration_edit,can i change the endpoint of my splunk account?
intent_integration_edit,please edit the gchat endpoint to this new url
intent_integration_edit,"we dont need our servicenow integration any more, please get rid of it"
intent_integration_edit,can i edit the details of my 3rd party integrations
intent_integration_edit,reenable my third party app please
intent_integration_edit,turn off these cloud integrations
intent_integration_edit,disable aws cloud
intent_integration_edit,rename azure cloud integration
intent_integration_edit,change the name of my splunk connection
intent_integration_edit,disconnect from google chat
intent_integration_troubleshoot,my integration isn't working
intent_integration_troubleshoot,"i'm not able to set up my integration successfully, can you help?"
intent_integration_troubleshoot,i need assistance getting my integration hooked up because i keep getting an error integration error
intent_integration_troubleshoot,failure to add integration
intent_integration_troubleshoot,i keep getting an error when trying to integrate with slack
intent_integration_troubleshoot,im unable to successfully integrate with google chat
intent_integration_troubleshoot,can you help me troubleshoot my integration errors please
intent_integration_troubleshoot,why is my integration not working
intent_integration_troubleshoot,cloud integration is failing
intent_integration_troubleshoot,cloud integration setup failure
intent_integration_troubleshoot,we keep getting errors with integrations
intent_integration_troubleshoot,troubleshoot integration not working
intent_integration_troubleshoot,can you help me troubleshoot my integrations
intent_integration_troubleshoot,servicenow failure
intent_integration_troubleshoot,error with microsoft teams
intent_integration_troubleshoot,splunk is not working
intent_integration_troubleshoot,are you able to troubleshoot my event driven ansible integration
intent_integration_troubleshoot,can you fix my integration problems
intent_integration_troubleshoot,are you able to resolve my integration errors for me
intent_notifications_setup,notifications
intent_notifications_setup,set up event alerting
intent_notifications_setup,get alerts
intent_notifications_setup,find out about events
intent_notifications_setup,get notifications
intent_notifications_setup,send notifications to others
intent_notifications_setup,create a notification
intent_notifications_setup,create an alert
intent_notifications_setup,add an alert
intent_notifications_setup,add an event
intent_notifications_setup,add a notification
intent_notifications_setup,set up notifications
intent_notifications_setup,setup a notification
intent_notifications_setup,notif setup
intent_notifications_setup,make new notificatons
intent_notifications_setup,can you help me set up notifications
intent_notifications_setup,i need to setup notifs
intent_notifications_setup,how do i get emails about stuff on the console
intent_notifications_setup,set up email alerts
intent_notifications_setup,get email notifications
intent_notifications_setup,i want slack notifications
intent_notifications_setup,opt in to notifications
intent_notifications_setup,subscribe to notification emails
intent_notifications_setup,slack notification opt in
intent_notifications_setup,sign me up for weekly digest emails
intent_notifications_setup,i need to get those daily digest emails please
intent_notifications_setup,i want to get notifications about patch
intent_notifications_setup,"i want to receive email notifications, can you do that for me?"
intent_notifications_setup,help me get notifications in ms teams?
intent_notifications_setup,i want email alerts
intent_notifications_setup,i want to get updates in my microsoft teams account
intent_notifications_setup,i'd like to receive alerts in gchat
intent_notifications_setup,can i point notifications to google chat channel?
intent_notifications_setup,eda notifications - how to
intent_notifications_setup,get alerts in splunk
intent_notifications_edit,how do I edit notifications
intent_notifications_edit,how do I notify my team of events
intent_notifications_edit,update alert settings for my team
intent_notifications_edit,how to change alert settings
intent_notifications_edit,how do I remove a notification for my org
intent_notifications_edit,i want to get notified about events
intent_notifications_edit,how do I opt out of emails
intent_notifications_edit,how do I change my notification preferences
intent_notifications_edit,how do I mute notifications
intent_notifications_edit,how do I mute alerts
intent_notifications_edit,change notifications
intent_notifications_edit,edit notification
intent_notifications_edit,edit alert
intent_notifications_edit,delete notifications
intent_notifications_edit,turn off notifications
intent_notifications_edit,disable notifications
intent_notifications_edit,modify notifications
intent_notifications_edit,how do I modify notifications
intent_notifications_edit,notifications are annoying and i want them to be turned off
intent_notifications_edit,can i change the frequency of notifications
intent_notifications_edit,notifications daily digest turn off
intent_notifications_edit,sign up for notifications weekly digest
intent_notifications_edit,notification alert opt out
intent_notifications_edit,unsubscribe from emails
intent_notifications_edit,unsubscribe alerts
intent_notifications_edit,stop the emails
intent_notifications_edit,im getting way too many slack notifications
intent_notifications_edit,how can i edit the frequency of gchat notifications
intent_notifications_edit,can i change my notifications?
intent_notifications_edit,change notification settings
intent_notifications_edit,notification settings update
intent_notifications_edit,update notifications
intent_notifications_edit,update alert configuration
intent_notifications_edit,there's too many notifications coming
intent_notifications_edit,limit alerts to once per day
intent_notifications_edit,limit my emails to once a day?
intent_notifications_edit,is there a daily digest option for notifications?
intent_notifications_troubleshoot,i'm not getting any notifications
intent_notifications_troubleshoot,why am i not receiving email notifications
intent_notifications_troubleshoot,"my colleague got an email notification, but I did not"
intent_notifications_troubleshoot,I can't find my notifications
intent_notifications_troubleshoot,notifications not working
intent_notifications_troubleshoot,why did i stop receiving email notifications?
intent_notifications_troubleshoot,my slack notifications stopped coming
intent_notifications_troubleshoot,i'm not seeing my servicenow notifications any more
intent_notifications_troubleshoot,did notifications stop working?
intent_notifications_troubleshoot,something is wrong with my notifications
intent_notifications_troubleshoot,one of my colleagues isnt getting emails
intent_notifications_troubleshoot,my company's teams notifications are no longer coming through
intent_notifications_troubleshoot,troubleshoot notifications problem
intent_notifications_troubleshoot,missing notifications
intent_notifications_troubleshoot,alerts are not coming through as expected
intent_notifications_troubleshoot,why did my notifications to google chat stop
intent_notifications_troubleshoot,alerts have been stopped
intent_notifications_troubleshoot,we are having problems with notifications
intent_notifications_troubleshoot,notifications issue
intent_notifications_troubleshoot,issue occurring with account alerts
intent_favorites_show,show me my favorites
intent_favorites_show,what are my favorites
intent_favorites_show,favorited services
intent_favorites_show,favorite pages
intent_favorites_show,where can I find my favorites
intent_favorites_show,access my favorites
intent_favorites_show,saved pages
intent_favorites_show,saved services
intent_favorites_show,I cant find my favorites
intent_favorites_show,bring me to the favorites page please
intent_favorites_show,redirect me to my starred pages
intent_favorites_show,where are my starred links
intent_favorites_show,show me my bookmarked services
intent_favorites_show,where are the pages i bookmarked in here?
intent_favorites_show,i'm not able to find the webpages that i added bookmarks to
intent_favorites_show,i am unable to locate the places i starred
intent_favorites_show,starred services
intent_favorites_show,bookmarked pages in the console
intent_favorites_show,what are favorites?
intent_favorites_show,what are starred pages?
intent_favorites_show,where are the pages i saved?
intent_favorites_show,manage my favorite services
intent_favorites_add,add this to favorites
intent_favorites_add,add [rosa](core_services) to favorites
intent_favorites_add,add the [advisor](core_services) service
intent_favorites_add,favorite this page
intent_favorites_add,favorite the [advisor](core_services) page
intent_favorites_add,save this service for later
intent_favorites_add,star this page for me
intent_favorites_add,add a page to my favorites
intent_favorites_add,favorite this service
intent_favorites_add,add this service to my favorites
intent_favorites_add,how to bookmark a page within the console
intent_favorites_add,can you star my most visited services
intent_favorites_add,i want to add all my most visited pages to my favorites
intent_favorites_add,can you save my favorite pages for me?
intent_favorites_add,are you able to bookmark things for me?
intent_favorites_add,"I love this page, can you save it for me?"
intent_favorites_delete,remove this from favorites
intent_favorites_delete,remove this service from my favorites
intent_favorites_delete,remove [openshift](core_services) from favorites
intent_favorites_delete,unfavorite this service
intent_favorites_delete,unstar this service
intent_favorites_delete,remove the star from this pages
intent_favorites_delete,delete favorited service
intent_favorites_delete,delete a page from my favorites
intent_favorites_delete,remove all of my favorites
intent_favorites_delete,delete [notifications](core_services) from my favorites
intent_enable_2fa,Enable 2FA
intent_enable_2fa,I want to set up 2fa
intent_enable_2fa,turn on 2fa
intent_enable_2fa,do you have two factor auth available?
intent_enable_2fa,I want to confirm my logins through my cell phone
intent_enable_2fa,logins through cell phone
intent_enable_2fa,"i need better security, can you set up something to text my phone when i log in"
intent_enable_2fa,need better security
intent_enable_2fa,send text to my phone when logging in
intent_enable_2fa,text my phone when i log in
intent_enable_2fa,my company is now requiring all logins to have two device signin
intent_enable_2fa,two device signin
intent_enable_2fa,2 device signin
intent_enable_2fa,two device login
intent_enable_2fa,want to make my org use two device sign in process
intent_enable_2fa,my company needs two factor authorization enabled on this site
intent_enable_2fa,"we have to use 2fa, can you help"
intent_enable_2fa,use 2-factor authorization to sign in
intent_enable_2fa,2 factor authorization
intent_enable_2fa,team has to use 2 factor authentication now. are you able to do that for me
